nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
1347 PPTY INS HLDGS INC	COM	68244P107	4		633	SH	SOLE	18		633	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	105		15724	SH	SOLE	21		15724	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	119		5770	SH	SOLE	2		350	0	5420
1ST CONSTITUTION BANCORP	COM	31986N102	481		23240	SH	SOLE	18		23240	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	101		4888	SH	SOLE	19		4888	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	5432		262401	SH	SOLE	21		262401	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	1125		54351	SH	SOLE	22		52483	0	1868
1ST SOURCE CORP	COM	336901103	804		15277	SH	SOLE	2		591	0	14686
1ST SOURCE CORP	COM	336901103	20		386	SH	SOLE	7		386	0	0
1ST SOURCE CORP	COM	336901103	2739		52054	SH	SOLE	18		52054	0	0
1ST SOURCE CORP	COM	336901103	772		14677	SH	SOLE	19		14677	0	0
1ST SOURCE CORP	COM	336901103	27566		523869	SH	SOLE	21		523869	0	0
1ST SOURCE CORP	COM	336901103	28312		538038	SH	SOLE	22		517417	0	20621
1ST SOURCE CORP	COM	336901103	363		6899	SH	SOLE	26		0	0	6899
1ST SOURCE CORP	COM	336901103	132		2512	SH	SOLE	28		2512	0	0
1ST SOURCE CORP	COM	336901103	217		4115	SH	SOLE	30		4115	0	0
1ST SOURCE CORP	COM	336901103	80		1516	SH	SOLE	40		1516	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	147		14547	SH	SOLE	4		14547	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	8421		833806	SH	SOLE	21		833806	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	3833		379509	SH	SOLE	22		378117	0	1392
21VIANET GROUP INC	SPONSORED ADR	90138A103	90		8905	SH	SOLE	25		8905	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	1763		174533	SH	SOLE	30		174533	0	0
22ND CENTY GROUP INC	COM	90137F103	180		64183	SH	SOLE	2		3975	0	60208
22ND CENTY GROUP INC	COM	90137F103	8		2871	SH	SOLE	7		2871	0	0
22ND CENTY GROUP INC	COM	90137F103	1084		385894	SH	SOLE	18		385894	0	0
22ND CENTY GROUP INC	COM	90137F103	282		100252	SH	SOLE	19		100252	0	0
22ND CENTY GROUP INC	COM	90137F103	11465		4080241	SH	SOLE	21		4080241	0	0
22ND CENTY GROUP INC	COM	90137F103	9356		3329393	SH	SOLE	22		3234218	0	95175
2U INC	COM	90214J101	6847		91061	SH	SOLE	2		3900	0	87161
2U INC	COM	90214J101	15		206	SH	SOLE	4		206	0	0
2U INC	COM	90214J101	89		1182	SH	SOLE	7		1182	0	0
2U INC	COM	90214J101	1971		26217	SH	SOLE	18		26217	0	0
2U INC	COM	90214J101	728		9685	SH	SOLE	19		9685	0	0
2U INC	COM	90214J101	50796		675567	SH	SOLE	21		675567	0	0
2U INC	COM	90214J101	113520		1509775	SH	SOLE	22		1407952	0	101823
2U INC	COM	90214J101	1368		18198	SH	SOLE	26		11851	0	6347
2U INC	COM	90214J101	579		7695	SH	SOLE	28		7695	0	0
2U INC	COM	90214J101	1002		13322	SH	SOLE	30		13322	0	0
2U INC	COM	90214J101	148		1965	SH	SOLE	31		1190	0	775
2U INC	COM	90214J101	9053		120400	SH	SOLE	34		120400	0	0
2U INC	COM	90214J101	434		5768	SH	SOLE	40		5768	0	0
3-D SYS CORP DEL	COM NEW	88554D205	2030		107412	SH	SOLE	2		4081	0	103331
3-D SYS CORP DEL	COM NEW	88554D205	11		575	SH	SOLE	4		575	0	0
3-D SYS CORP DEL	COM NEW	88554D205	45		2383	SH	SOLE	7		2383	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1		37	SH	SOLE	17		0	0	37
3-D SYS CORP DEL	COM NEW	88554D205	9218		487733	SH	SOLE	18		487733	0	0
3-D SYS CORP DEL	COM NEW	88554D205	1882		99571	SH	SOLE	19		99571	0	0
3-D SYS CORP DEL	COM NEW	88554D205	245030		12964569	SH	SOLE	21		12964569	0	0
3-D SYS CORP DEL	COM NEW	88554D205	59324		3138834	SH	SOLE	22		3003023	0	135811
3-D SYS CORP DEL	COM NEW	88554D205	279		14748	SH	SOLE	26		7374	0	7374
3-D SYS CORP DEL	COM NEW	88554D205	291		15374	SH	SOLE	28		15374	0	0
3-D SYS CORP DEL	COM NEW	88554D205	73		3886	SH	SOLE	29		0	0	3886
3-D SYS CORP DEL	COM NEW	88554D205	4732		250373	SH	SOLE	30		250373	0	0
3-D SYS CORP DEL	COM NEW	88554D205	209		11083	SH	SOLE	40		11083	0	0
3M CO	COM	88579Y101	298588		1417056	SH	SOLE	2		215244	0	1201812
3M CO	COM	88579Y101	41660		197714	SH	SOLE	4		182049	0	15665
3M CO	COM	88579Y101	110889		526262	SH	SOLE	7		482620	0	43642
3M CO	COM	88579Y101	463		2195	SH	SOLE	13		2195	0	0
3M CO	COM	88579Y101	1001		4752	SH	SOLE	15		4752	0	0
3M CO	COM	88579Y101	375204		1780663	SH	SOLE	18		1690632	0	90031
3M CO	COM	88579Y101	272309		1292339	SH	SOLE	19		1292339	0	0
3M CO	COM	88579Y101	60070		285084	SH	SOLE	20		23636	0	261448
3M CO	COM	88579Y101	2402282		11400890	SH	SOLE	21		11400890	0	0
3M CO	COM	88579Y101	2989083		14185769	SH	SOLE	22		12587864	0	1597905
